ef_bin,n,error_rate,under_call_rate,over_call_rate
"[10.0, 15.0)",6,0.0,0.0,0.0
"[15.0, 20.0)",13,0.0,0.0,0.0
"[20.0, 25.0)",27,0.03703703703703709,0.037037037037037035,0.0
"[25.0, 30.0)",37,0.1351351351351351,0.13513513513513514,0.0
"[30.0, 35.0)",41,0.29268292682926833,0.2926829268292683,0.0
"[35.0, 40.0)",36,0.25,0.25,0.0
"[40.0, 45.0)",44,0.31818181818181823,0.3181818181818182,0.0
"[45.0, 50.0)",81,0.5679012345679013,0.5679012345679012,0.0
"[50.0, 55.0)",116,0.23275862068965514,0.0,0.23275862068965517
"[55.0, 60.0)",332,0.12650602409638556,0.0,0.12650602409638553
"[60.0, 65.0)",309,0.02588996763754048,0.0,0.025889967637540454
"[65.0, 70.0)",197,0.030456852791878153,0.0,0.030456852791878174
"[70.0, 75.0)",29,0.0,0.0,0.0
"[75.0, 80.0)",7,0.0,0.0,0.0
"[80.0, 85.0)",2,0.0,0.0,0.0
