ef_bin,n,error_rate,under_call_rate,over_call_rate
"[10.0, 15.0)",6,0.0,0.0,0.0
"[15.0, 20.0)",13,0.0,0.0,0.0
"[20.0, 25.0)",27,0.03703703703703709,0.037037037037037035,0.0
"[25.0, 30.0)",37,0.0,0.0,0.0
"[30.0, 35.0)",41,0.09756097560975607,0.0975609756097561,0.0
"[35.0, 40.0)",36,0.13888888888888884,0.1388888888888889,0.0
"[40.0, 45.0)",44,0.20454545454545459,0.20454545454545456,0.0
"[45.0, 50.0)",81,0.5061728395061729,0.5061728395061729,0.0
"[50.0, 55.0)",116,0.3275862068965517,0.0,0.3275862068965517
"[55.0, 60.0)",332,0.14156626506024095,0.0,0.14156626506024098
"[60.0, 65.0)",309,0.035598705501618144,0.0,0.03559870550161812
"[65.0, 70.0)",197,0.025380710659898442,0.0,0.025380710659898477
"[70.0, 75.0)",29,0.0,0.0,0.0
"[75.0, 80.0)",7,0.0,0.0,0.0
"[80.0, 85.0)",2,0.0,0.0,0.0
