ef_bin,n,error_rate,under_call_rate,over_call_rate
"[10.0, 15.0)",6,0.0,0.0,0.0
"[15.0, 20.0)",13,0.23076923076923073,0.23076923076923078,0.0
"[20.0, 25.0)",27,0.0,0.0,0.0
"[25.0, 30.0)",37,0.21621621621621623,0.21621621621621623,0.0
"[30.0, 35.0)",41,0.4390243902439024,0.43902439024390244,0.0
"[35.0, 40.0)",36,0.5833333333333333,0.5833333333333334,0.0
"[40.0, 45.0)",44,0.5681818181818181,0.5681818181818182,0.0
"[45.0, 50.0)",81,0.8641975308641976,0.8641975308641975,0.0
"[50.0, 55.0)",116,0.1293103448275862,0.0,0.12931034482758622
"[55.0, 60.0)",332,0.04216867469879515,0.0,0.04216867469879518
"[60.0, 65.0)",309,0.012944983818770184,0.0,0.012944983818770227
"[65.0, 70.0)",197,0.0,0.0,0.0
"[70.0, 75.0)",29,0.0,0.0,0.0
"[75.0, 80.0)",7,0.0,0.0,0.0
"[80.0, 85.0)",2,0.0,0.0,0.0
